ano,mes,sigla_uf,ddd,tecnologia,sinal,acessos
2009,2,MA,99,Dados até 256kbps,2G,507
2009,2,MA,99,GSM,2G,660034
2009,2,MA,99,WCDMA,3G,1876
2009,2,MG,31,Dados > 256kbps,3G,25916
2009,2,MG,31,Dados até 256kbps,2G,208609
2009,2,MG,31,GSM,2G,6599780
2009,2,MG,31,TDMA,2G,186663
2009,2,MG,31,WCDMA,3G,17852
2009,2,MG,32,Dados > 256kbps,3G,3115
2009,2,MG,32,Dados até 256kbps,2G,8262
2009,2,MG,32,GSM,2G,1403044
2009,2,MG,32,TDMA,2G,44991
2009,2,MG,32,WCDMA,3G,405
2009,2,MG,33,Dados > 256kbps,3G,1524
2009,2,MG,33,Dados até 256kbps,2G,2788
2009,2,MG,33,GSM,2G,1093889
2009,2,MG,33,TDMA,2G,35178
2009,2,MG,33,WCDMA,3G,401
2009,2,MG,34,AMPS,1G,174
2009,2,MG,34,Dados > 256kbps,3G,2572
2009,2,MG,34,Dados até 256kbps,2G,22758
2009,2,MG,34,GSM,2G,1878768
2009,2,MG,34,TDMA,2G,43362
2009,2,MG,34,WCDMA,3G,665
2009,2,MG,35,AMPS,1G,3
2009,2,MG,35,Dados > 256kbps,3G,3713
2009,2,MG,35,Dados até 256kbps,2G,6687
2009,2,MG,35,GSM,2G,1969625
2009,2,MG,35,TDMA,2G,85130
2009,2,MG,35,WCDMA,3G,1569
2009,2,MG,37,AMPS,1G,9
2009,2,MG,37,Dados > 256kbps,3G,1625
2009,2,MG,37,Dados até 256kbps,2G,4883
2009,2,MG,37,GSM,2G,1016806
2009,2,MG,37,TDMA,2G,56794
2009,2,MG,37,WCDMA,3G,166
2009,2,MG,38,Dados > 256kbps,3G,2177
2009,2,MG,38,Dados até 256kbps,2G,4265
2009,2,MG,38,GSM,2G,1298192
2009,2,MG,38,TDMA,2G,89152
2009,2,MG,38,WCDMA,3G,243
2009,2,MS,67,AMPS,1G,1
2009,2,MS,67,CDMA IS 95,2G,254841
2009,2,MS,67,CDMA2000,2G,4344
2009,2,MS,67,Dados > 256kbps,3G,4725
2009,2,MS,67,Dados até 256kbps,2G,70663
2009,2,MS,67,GSM,2G,1930160
2009,2,MS,67,TDMA,2G,539
2009,2,MS,67,WCDMA,3G,21192
2009,2,MT,65,CDMA IS 95,2G,156116
2009,2,MT,65,CDMA2000,2G,3030
2009,2,MT,65,Dados > 256kbps,3G,4979
2009,2,MT,65,Dados até 256kbps,2G,17785
2009,2,MT,65,GSM,2G,1281539
2009,2,MT,65,WCDMA,3G,17055
2009,2,MT,66,CDMA IS 95,2G,139985
2009,2,MT,66,CDMA2000,2G,2195
2009,2,MT,66,Dados > 256kbps,3G,2994
2009,2,MT,66,Dados até 256kbps,2G,5466
2009,2,MT,66,GSM,2G,901494
2009,2,MT,66,WCDMA,3G,7605
2009,2,PA,91,CDMA IS 95,2G,133082
2009,2,PA,91,CDMA2000,2G,1531
2009,2,PA,91,Dados > 256kbps,3G,16387
2009,2,PA,91,Dados até 256kbps,2G,17386
2009,2,PA,91,GSM,2G,2723647
2009,2,PA,91,WCDMA,3G,12299
2009,2,PA,93,CDMA IS 95,2G,38195
2009,2,PA,93,CDMA2000,2G,499
